Date (YMD),Advancers,Decliners,Unchanged,RANA,19-day EMA,39-day EMA,Oscillator,Index
19651203,554,599,262,-39.0286209887,,,,
19651206,240,1011,181,-616.3069544365,,,,
19651207,869,336,215,442.3236514523,,,,
19651208,626,522,254,90.5923344948,,,,
19651209,637,537,237,85.1788756388,,,,
19651210,656,518,249,117.5468483816,,,,
19651213,644,549,228,79.6311818944,,,,
19651214,620,606,207,11.4192495922,,,,
19651215,620,577,232,35.9231411863,,,,
19651216,672,544,228,105.2631578947,,,,
19651217,627,536,253,78.2459157352,,,,
19651220,391,799,239,-342.8571428571,,,,
19651221,664,530,229,112.2278056951,,,,
19651222,501,704,212,-168.4647302905,,,,
19651223,497,668,258,-146.7811158798,,,,
19651227,380,798,260,-354.8387096774,,,,
19651228,497,686,234,-159.7633136095,,,,
19651229,717,471,237,207.0707070707,,,,
19651230,714,446,254,231.0344827586,,,,
19651231,697,479,229,185.3741496599,,,,
19660103,630,547,219,70.5182667799,,,,
19660104,639,608,140,24.8596631917,,,,
19660105,740,440,233,254.2372881356,,,,
19660106,649,531,230,100,,,,
19660107,612,540,258,62.5,,,,
19660110,699,506,220,160.1659751037,,,,
19660111,632,536,259,82.1917808219,,,,
19660112,579,592,252,-11.1016225448,,,,
19660113,699,487,240,178.7521079258,,,,
19660114,663,536,226,105.9216013344,,,,
19660117,738,469,250,222.8666114333,,,,
19660118,632,567,243,54.2118432027,,,,
19660119,492,706,240,-178.6310517529,,,,
19660120,500,701,228,-167.3605328893,,,,
19660121,542,624,273,-70.3259005146,,,,
19660124,697,503,220,161.6666666667,,,,
19660125,651,535,251,97.8077571669,,,,
19660126,591,609,226,-15,,,,
19660127,577,596,245,-16.1977834612,,,,
19660128,504,668,249,-139.9317406143,,,,
